batch_size,timeout_s,anchors,events_per_anchor,timeout_flush_share,gas_total,gas_per_event,latency_p50_s,latency_p95_s,latency_p99_s,latency_max_s,cost_latency_product,usd_per_10k_parcels_calm,usd_per_10k_parcels_typical,usd_per_10k_parcels_congested,usd_per_event_typical
1,60.0,681401,1.0,0.0,49994298765.6,73369.864,6.0,11.4,11.9,12.0,836893.3,89147.6865,356590.7461,891476.8652,4.40219185
2,60.0,340701,2.0,0.0,24997194618.3,36684.998,6.4,11.8,13.1,60.3,434551.9,44573.9239,178295.6957,445739.2392,2.20109991
4,60.0,170351,4.0,0.0,12498642544.7,18342.566,7.3,13.3,15.4,60.3,243362.8,22287.0426,89148.1705,222870.4262,1.10055394
8,60.0,85176,8.0,0.0,6249366507.8,9171.349,9.1,16.4,19.4,60.3,150107.6,11143.602,44574.4079,111436.0197,0.55028095
16,60.0,42588,16.0,0.0,3124691804.5,4585.687,12.3,22.8,26.8,71.7,104458.3,5571.8162,22287.2649,55718.1623,0.27514123
32,60.0,21294,32.0,0.0,1562354452.8,2292.856,19.3,35.9,41.6,70.9,82343.6,2785.9234,11143.6935,27859.2336,0.13757137
64,60.0,10896,62.537,0.2713,799454866.9,1173.252,33.1,60.6,66.6,72.0,71126.8,1425.5536,5702.2143,14255.5359,0.0703951
128,60.0,9932,68.607,1.0,728726342.1,1069.453,36.4,64.3,68.9,72.0,68745.1,1299.4335,5197.7341,12994.3352,0.06416718
256,60.0,9932,68.607,1.0,728726342.1,1069.453,36.4,64.3,68.9,72.0,68745.1,1299.4335,5197.7341,12994.3352,0.06416718
512,60.0,9932,68.607,1.0,728726342.1,1069.453,36.4,64.3,68.9,72.0,68745.1,1299.4335,5197.7341,12994.3352,0.06416718
1024,60.0,9932,68.607,1.0,728726342.1,1069.453,36.4,64.3,68.9,72.0,68745.1,1299.4335,5197.7341,12994.3352,0.06416718
2048,60.0,9932,68.607,1.0,728726342.1,1069.453,36.4,64.3,68.9,72.0,68745.1,1299.4335,5197.7341,12994.3352,0.06416718
4096,60.0,9932,68.607,1.0,728726342.1,1069.453,36.4,64.3,68.9,72.0,68745.1,1299.4335,5197.7341,12994.3352,0.06416718
1,300.0,681401,1.0,0.0,49994298765.6,73369.864,6.0,11.4,11.9,12.0,836893.3,89147.6865,356590.7461,891476.8652,4.40219185
2,300.0,340701,2.0,0.0,24997194618.3,36684.998,6.4,11.8,13.1,300.3,434551.9,44573.9239,178295.6957,445739.2392,2.20109991
