parcels_per_hour,events_per_hour,batch_size,events_per_anchor,timeout_flush_share,gas_per_event,latency_p50_s,latency_p95_s,usd_per_10k_parcels_typical
10.0,81.0,16,15.978,0.0027,4594.787,311.1,760.6,22331.4928
10.0,81.0,256,81.444,1.0,903.774,1837.0,3460.8,4392.5034
10.0,81.0,4096,81.444,1.0,903.774,1837.0,3460.8,4392.5034
25.0,202.5,16,15.984,0.0011,4591.418,129.7,302.6,22315.116
25.0,202.5,256,205.569,1.0,358.066,1845.3,3436.4,1740.2635
25.0,202.5,4096,205.569,1.0,358.066,1845.3,3436.4,1740.2635
50.0,405.0,16,15.996,0.0005,4587.285,67.6,154.8,22295.0295
50.0,405.0,256,254.009,0.0086,289.428,1123.0,2152.5,1406.6732
50.0,405.0,4096,409.236,1.0,179.865,1804.0,3431.1,874.1775
100.0,810.0,16,15.999,0.0003,4586.299,36.8,81.6,22290.2374
100.0,810.0,256,255.629,0.0044,287.309,570.3,1090.1,1396.3745
100.0,810.0,4096,813.042,1.0,90.533,1820.0,3428.7,440.0082
250.0,2025.1,16,16.0,0.0001,4585.764,18.5,37.0,22287.6376
250.0,2025.1,256,255.998,0.0018,286.72,233.0,441.7,1393.5123
250.0,2025.1,4096,2023.097,1.0,36.383,1813.4,3426.1,176.8304
500.0,4050.2,16,16.0,0.0001,4585.783,12.3,22.7,22287.733
500.0,4050.2,256,255.896,0.0009,286.776,118.7,223.1,1393.7845
500.0,4050.2,4096,3999.685,0.7671,18.402,1807.7,3422.0,89.4393
1000.0,8100.3,16,16.0,0.0,4585.684,9.3,16.3,22287.2473
1000.0,8100.3,256,255.928,0.0004,286.711,62.5,115.0,1393.4682
1000.0,8100.3,4096,4082.315,0.007,18.002,919.4,1740.8,87.4925
2500.0,20250.8,16,16.0,0.0,4585.646,7.3,13.0,22287.0626
2500.0,20250.8,256,255.985,0.0002,286.63,28.5,50.4,1393.0712
2500.0,20250.8,4096,4086.437,0.0028,17.966,370.1,697.8,87.319
5000.0,40501.5,16,16.0,0.0,4585.638,6.7,12.1,22287.0265
5000.0,40501.5,256,255.999,0.0001,286.608,17.3,29.7,1392.9659
5000.0,40501.5,4096,4092.035,0.0014,17.936,188.1,351.9,87.1711
